EE_Dt,C2SP2,ZMIC1,naAromAtom,nBondsD,minssNH,nC,nT6Ring,MLogP,ETA_Eta_F_L,MATS8c,SpAD_Dt,MDEC-23,SHaaCH,minHBint4,Class
709.7827,20.0,111.8885,38.0,22.0,0.0,38.0,0.0,4.76,14.3222,0.0549,3444.0152,60.1757,0.0,0.0,0
706.1891,24.0,101.0685,37.0,20.0,0.0,34.0,6.0,4.21,13.7317,-0.002,1412.3783,44.5031,11.0565,0.0,0
709.7827,15.0,73.2941,32.0,17.0,0.0,33.0,5.0,3.88,13.9774,0.2242,1633.9653,37.5488,6.3766,0.0,0
709.7827,18.0,75.2334,32.0,17.0,0.0,34.0,5.0,3.99,14.1564,-0.0208,1661.3697,40.5929,6.4619,0.0,0
709.7827,23.0,90.1954,31.0,19.0,0.0,33.0,6.0,3.88,13.5143,-0.0056,1634.1502,52.7343,9.9259,0.0,0
709.7827,24.0,117.5779,30.0,21.0,2.7191,36.0,7.0,4.54,13.6093,0.1006,1675.4968,52.3812,10.6049,6.0087,0
709.7827,23.0,120.6415,32.0,21.0,0.0,37.0,6.0,4.76,13.5665,0.0152,1444.772,56.0611,11.2879,0.0,0
552.9903,24.0,90.4737,31.0,17.0,0.0,32.0,6.0,4.43,11.4418,0.1626,1108.1734,40.6558,9.8222,0.0,0
465.6785,15.0,76.0477,26.0,15.0,0.0,25.0,5.0,3.55,10.0527,0.1751,933.5382,31.9506,6.5696,2.6142,0
470.0171,16.0,82.4403,20.0,14.0,0.0,28.0,4.0,3.66,10.0152,0.0879,940.0342,35.6989,7.3985,0.349,0
490.6742,16.0,76.7516,24.0,16.0,0.0,28.0,4.0,3.55,11.1231,0.0086,981.3484,32.2745,7.4732,0.0,0
682.1972,16.0,75.1387,36.0,17.0,0.0,31.0,6.0,3.99,12.2187,-0.0203,1367.4529,40.393,9.3318,0.0,0
394.685,22.0,88.8322,33.0,16.0,0.0,29.0,5.0,4.21,10.6882,0.0452,789.3701,35.8397,10.0812,0.0,0
